Year,Status,Life Expectancy,Adult Mortality,Infant Deaths,Alcohol,Percentage Expenditure,Hepatitis B,Measles,BMI,Under-Five Deaths,Polio,Health Expenditure,Diphtheria,HIV/AIDS,GDP,Population,Income Composition of Resources,Schooling,Thinness 5-19 Years
2012,Developing,75.1,113.0,21,0.66,555.926,95.0,18,Obese,24,95.0,6.14,95.0,0.1,5564.826,37565847.0,0.732,14.4,11.7
2011,Developing,74.9,116.0,21,0.56,509.002,95.0,112,Obese,24,95.0,5.29,95.0,0.1,5432.252,36819558.0,0.724,14.0,11.7
2010,Developing,74.7,119.0,21,0.45,430.718,95.0,103,Obese,24,95.0,5.12,95.0,0.1,4463.395,36117637.0,0.714,13.6,11.7
2009,Developing,74.4,123.0,20,0.5,352.064,94.0,107,Obese,23,94.0,5.36,95.0,0.1,3868.831,3546576.0,0.705,13.1,11.9
2008,Developing,74.1,126.0,20,0.46,43.087,91.0,217,Obese,23,92.0,4.2,93.0,0.1,495.255,3486715.0,0.697,12.6,11.9
2007,Developing,73.8,129.0,20,0.44,320.324,9.0,0,Underweight,23,95.0,3.82,95.0,0.1,3935.183,34376.0,0.69,12.3,11.9
2006,Developing,73.4,132.0,20,0.36,270.24,8.0,944,Obese,23,95.0,3.36,95.0,0.1,3464.618,33777915.0,0.686,12.3,12.1
2005,Developing,72.9,136.0,19,0.5,2.549,83.0,2302,Obese,22,88.0,3.24,88.0,0.1,31.122,33288437.0,0.68,12.0,12.1
2004,Developing,72.3,14.0,19,0.45,220.394,81.0,3289,Obese,23,86.0,3.54,86.0,0.1,2598.982,3283196.0,0.673,11.7,12.3
2014,Developing,51.7,348.0,67,8.33,23.966,64.0,11699,Normal,101,68.0,3.31,64.0,2.0,479.312,2692466.0,0.527,11.4,16.8
2013,Developing,51.1,355.0,69,8.1,35.959,77.0,8523,Normal,105,67.0,4.26,77.0,2.3,484.617,2599834.0,0.523,11.4,17.1
2012,Developing,56.0,358.0,72,8.24,256.123,75.0,4458,Normal,110,75.0,3.3,75.0,2.6,4598.25,259615.0,0.508,10.3,17.4
2011,Developing,51.0,361.0,75,8.06,239.891,72.0,1449,Normal,115,73.0,3.38,71.0,2.5,4299.129,24218565.0,0.495,9.4,17.700000000000003
2010,Developing,49.6,365.0,78,7.8,191.654,77.0,1190,Underweight,121,81.0,3.39,77.0,2.5,3529.535,23369131.0,0.488,9.0,18.1
2009,Developing,49.1,369.0,81,7.01,212.923,61.0,2807,Normal,127,63.0,4.37,6.0,2.5,3347.845,22549547.0,0.48,8.5,18.5
2008,Developing,48.7,371.0,84,7.07,249.91,69.0,265,Normal,133,65.0,3.84,69.0,2.6,3868.579,2175942.0,0.468,8.1,18.9
2007,Developing,48.2,375.0,87,6.35,184.821,73.0,1014,Normal,138,75.0,3.38,73.0,2.6,2878.837,2997687.0,0.454,7.7,19.2
2014,Developing,76.2,118.0,8,7.93,847.372,94.0,1,Obese,9,92.0,4.79,94.0,0.1,12245.256,42981515.0,0.825,17.3,1.9
2013,Developing,76.0,119.0,8,8.28,1001.796,94.0,0,Obese,10,99.0,4.99,94.0,0.1,12976.636,42539925.0,0.823,17.3,1.9
2012,Developing,75.9,12.0,9,8.35,1133.558,91.0,2,Obese,10,99.0,5.2,91.0,0.1,12969.771,4296739.0,0.822,17.2,1.9
2011,Developing,75.7,12.0,9,8.11,1504.329,91.0,3,Underweight,10,93.0,5.89,91.0,0.1,12726.984,41656879.0,0.816,17.1,1.9
2010,Developing,75.5,121.0,10,8.15,187.611,94.0,17,Obese,11,95.0,6.55,94.0,0.1,1276.265,41223889.0,0.802,16.8,1.9
2009,Developing,75.6,126.0,10,8.33,1398.043,94.0,3,Obese,11,97.0,7.63,94.0,0.1,8161.37,479947.0,0.794,16.5,1.9
2008,Developing,75.4,126.0,10,8.41,1413.735,9.0,0,Obese,11,94.0,6.66,93.0,0.1,8953.359,4382389.0,0.792,16.3,1.9
2007,Developing,74.8,129.0,10,8.16,1105.659,85.0,0,Obese,12,92.0,6.49,91.0,0.1,7193.618,3997224.0,0.788,16.3,2.0
2006,Developing,75.2,127.0,11,7.75,961.177,84.0,0,Obese,12,92.0,6.68,91.0,0.1,5878.761,3955889.0,0.782,16.1,2.0
2005,Developing,74.9,127.0,11,7.53,96.167,88.0,0,Obese,12,95.0,6.85,98.0,0.1,576.884,39145488.0,0.78,16.3,2.1
2004,Developing,74.7,13.0,11,7.63,719.366,81.0,0,Obese,12,91.0,6.84,98.0,0.1,4251.574,38728696.0,0.775,16.3,2.1
2003,Developing,74.1,137.0,11,7.62,57.585,73.0,0,Obese,13,95.0,8.22,96.0,0.1,333.438,3839379.0,0.77,16.4,2.2
2002,Developing,74.1,138.0,12,7.81,470.187,66.0,0,Obese,13,94.0,8.31,93.0,0.1,2579.193,3788937.0,0.776,16.3,2.2
2014,Developing,74.6,12.0,1,3.91,295.609,93.0,13,Obese,1,95.0,4.48,93.0,0.1,3994.712,29622.0,0.739,12.7,4.2
2013,Developing,74.4,123.0,1,3.79,279.429,95.0,10,Obese,1,96.0,4.55,95.0,0.1,3843.591,289359.0,0.736,12.7,4.2
2012,Developing,74.4,121.0,1,3.89,274.153,95.0,0,Obese,1,96.0,4.48,95.0,0.1,3684.848,2881922.0,0.732,12.7,4.1
2011,Developing,73.9,128.0,1,4.09,260.996,95.0,0,Obese,1,96.0,3.71,95.0,0.1,3526.978,2875581.0,0.729,12.7,4.1
2010,Developing,73.5,132.0,1,4.23,224.321,94.0,2,Obese,1,96.0,4.56,94.0,0.1,3218.382,2877311.0,0.72,12.3,4.1
2009,Developing,73.3,137.0,1,3.96,201.186,93.0,0,Underweight,1,94.0,4.55,93.0,0.1,2993.833,2888584.0,0.725,11.9,4.1
2008,Developing,73.2,14.0,1,3.96,2.889,89.0,0,Underweight,1,91.0,3.8,89.0,0.1,41.27,29822.0,0.721,12.3,4.1
2007,Developing,73.5,132.0,1,3.99,44.572,85.0,1,Obese,1,9.0,4.31,88.0,0.1,3138.887,293356.0,0.707,11.7,4.1
2006,Developing,72.9,141.0,1,4.01,244.535,78.0,137,Obese,1,87.0,4.58,87.0,0.1,2158.299,29585.0,0.692,11.2,4.1
2005,Developing,73.0,137.0,1,4.25,20.218,91.0,2281,Obese,1,92.0,5.25,9.0,0.1,1643.758,2981259.0,0.679,10.9,4.1
2004,Developing,73.0,132.0,1,3.81,97.741,91.0,1783,Obese,1,93.0,5.5,91.0,0.1,1191.962,3612.0,0.668,10.9,4.1
2003,Developing,72.7,134.0,1,3.03,7.341,93.0,4,Obese,1,96.0,5.56,94.0,0.1,93.166,31786.0,0.657,10.8,4.1
2002,Developing,72.6,134.0,1,2.86,57.178,91.0,40,Obese,1,96.0,5.4,94.0,0.1,783.262,333897.0,0.645,10.8,4.2
2001,Developing,72.6,141.0,1,2.86,53.194,69.0,69,Obese,1,97.0,5.94,94.0,0.1,694.435,35655.0,0.644,11.1,4.2
2000,Developing,72.0,142.0,1,2.9,32.756,55.0,15,Obese,1,96.0,6.25,93.0,0.1,622.743,369588.0,0.639,11.2,4.300000000000001
2014,Developed,82.7,6.0,1,9.71,10769.363,91.0,340,Obese,1,92.0,9.42,92.0,0.1,62214.691,2346694.0,0.936,20.4,1.2
2013,Developed,82.5,61.0,1,9.87,11734.854,91.0,158,Obese,1,91.0,9.36,91.0,0.1,67792.339,23117353.0,0.933,20.3,1.2
2012,Developed,82.3,61.0,1,10.03,11714.999,91.0,199,Obese,1,92.0,9.36,92.0,0.1,67677.635,22728254.0,0.93,20.1,1.2
2011,Developed,82.0,63.0,1,10.3,10986.265,92.0,190,Obese,1,92.0,9.2,92.0,0.1,62245.129,223424.0,0.927,19.8,1.2
2010,Developed,81.9,64.0,1,10.52,8875.786,92.0,70,Obese,1,92.0,9.2,92.0,0.1,51874.848,223175.0,0.927,19.5,1.2999999999999998
2009,Developed,81.7,66.0,1,10.62,7172.275,94.0,104,Obese,1,92.0,9.5,92.0,0.1,42742.999,216917.0,0.925,19.1,1.2999999999999998
2008,Developed,81.3,66.0,1,10.76,8547.292,94.0,65,Obese,1,92.0,8.78,92.0,0.1,49664.685,212492.0,0.921,19.1,1.2999999999999998
2007,Developed,81.3,66.0,1,10.56,872.599,94.0,11,Obese,2,92.0,8.53,92.0,0.1,4991.983,28276.0,0.918,19.0,1.2999999999999998
2006,Developed,81.2,66.0,1,10.31,6187.062,95.0,0,Obese,2,92.0,8.49,92.0,0.1,36118.284,26979.0,0.915,20.3,1.2999999999999998
2005,Developed,81.0,67.0,1,10.3,579.133,95.0,10,Obese,2,92.0,8.45,92.0,0.1,3416.715,23948.0,0.91,20.3,1.2999999999999998
2004,Developed,86.0,69.0,1,9.84,588.568,95.0,70,Underweight,1,92.0,8.57,92.0,0.1,3472.38,21274.0,0.908,20.7,1.2999999999999998
2003,Developed,83.0,71.0,1,9.97,3829.551,95.0,91,Underweight,1,92.0,8.32,93.0,0.1,23465.386,198954.0,0.905,20.6,1.4
2002,Developed,79.9,73.0,1,9.84,46.387,95.0,32,Obese,2,92.0,8.39,92.0,0.1,281.818,196514.0,0.902,20.1,1.4
2001,Developed,79.9,75.0,1,9.53,3064.301,94.0,141,Obese,2,91.0,8.18,92.0,0.1,19517.842,19413.0,0.899,20.5,1.4
2014,Developed,81.4,66.0,0,12.32,8350.194,98.0,117,Obese,0,98.0,11.21,98.0,0.1,51322.64,8541575.0,0.892,15.9,3.8
2013,Developed,81.1,68.0,0,11.82,90.585,95.0,0,Obese,0,95.0,11.14,95.0,0.1,554.715,8479375.0,0.887,15.7,3.8
2012,Developed,88.0,7.0,0,12.26,7878.372,92.0,36,Obese,0,92.0,11.17,92.0,0.1,48333.573,8429991.0,0.884,15.7,3.8
2011,Developed,88.0,73.0,0,12.04,8272.307,89.0,68,Obese,0,89.0,1.94,89.0,0.1,51126.741,8391643.0,0.88,15.7,3.7
2010,Developed,84.0,75.0,0,12.1,7423.229,86.0,52,Obese,0,86.0,11.17,86.0,0.1,46657.629,836344.0,0.872,15.4,3.5999999999999996
2009,Developed,82.0,77.0,0,11.3,8053.558,83.0,49,Obese,0,83.0,11.19,83.0,0.1,47654.187,8343323.0,0.87,15.3,3.5999999999999996
2008,Developed,84.0,76.0,0,12.0,8329.732,83.0,448,Obese,0,83.0,1.6,83.0,0.1,51386.377,8321496.0,0.864,15.1,3.5999999999999996
2007,Developed,81.0,8.0,0,12.5,7453.864,85.0,20,Obese,0,85.0,1.4,85.0,0.1,46586.652,8295487.0,0.86,15.2,3.5999999999999996
2006,Developed,79.8,81.0,0,12.4,69.929,83.0,23,Obese,0,83.0,1.35,83.0,0.1,443.994,8268641.0,0.854,15.0,3.5999999999999996
2005,Developed,79.4,85.0,0,12.4,5992.588,86.0,9,Obese,0,86.0,1.53,86.0,0.1,38242.425,8227829.0,0.848,14.9,3.5999999999999996
2004,Developed,79.3,86.0,0,12.1,5316.877,83.0,15,Obese,0,83.0,1.56,83.0,0.1,36693.426,8171966.0,0.841,14.7,3.5999999999999996
2003,Developed,78.8,88.0,0,12.2,504.431,83.0,90,Obese,0,84.0,1.48,84.0,0.1,3212.936,8121423.0,0.837,14.7,3.5999999999999996
2002,Developed,78.7,9.0,0,12.5,3979.058,81.0,0,Obese,0,82.0,1.27,83.0,0.1,26351.376,881957.0,0.847,16.1,3.5999999999999996
2001,Developed,78.6,92.0,0,12.4,3582.848,44.0,0,Underweight,0,83.0,1.12,84.0,0.1,24489.736,842293.0,0.837,15.5,3.5999999999999996
2000,Developed,78.1,96.0,0,13.2,3557.456,33.0,0,Underweight,0,71.0,1.6,81.0,0.1,24517.267,811566.0,0.833,15.4,3.5999999999999996
2014,Developing,72.5,119.0,5,0.01,306.182,94.0,0,Obese,6,97.0,6.4,94.0,0.1,7891.3,953579.0,0.752,12.2,5.699999999999999
2013,Developing,72.2,121.0,5,2.14,275.651,93.0,164,Underweight,6,96.0,5.54,93.0,0.1,7875.757,941681.0,0.745,11.9,5.6
2012,Developing,71.9,123.0,5,0.01,285.61,88.0,0,Obese,6,92.0,5.37,89.0,0.1,7496.336,9295784.0,0.742,11.8,5.6
2011,Developing,71.6,125.0,5,1.98,263.143,84.0,0,Obese,6,91.0,5.1,87.0,0.1,7189.691,917382.0,0.741,11.7,5.699999999999999
2010,Developing,71.1,13.0,5,1.98,246.569,8.0,0,Obese,6,85.0,5.33,81.0,0.1,5842.858,954332.0,0.737,11.7,5.699999999999999
2009,Developing,78.0,132.0,6,2.1,22.486,74.0,0,Obese,6,84.0,5.85,81.0,0.1,495.295,8947243.0,0.728,11.6,5.699999999999999
2008,Developing,73.0,141.0,6,1.18,206.262,68.0,5,Obese,6,85.0,4.37,81.0,0.1,5574.638,87634.0,0.719,11.6,5.699999999999999
2007,Developing,73.0,14.0,6,1.02,176.011,62.0,0,Obese,7,81.0,5.1,79.0,0.1,3851.438,85813.0,0.708,11.6,5.699999999999999
2006,Developing,69.2,154.0,6,0.85,105.634,52.0,222,Obese,7,8.0,6.17,78.0,0.1,2473.858,848455.0,0.682,10.7,5.8
2005,Developing,68.4,162.0,6,0.73,81.289,49.0,1238,Obese,7,79.0,7.86,75.0,0.1,1578.424,839185.0,0.675,11.2,5.9
2004,Developing,68.4,154.0,6,0.62,8.597,5.0,827,Obese,8,78.0,7.92,77.0,0.1,145.216,8365.0,0.668,11.0,6.0
2003,Developing,67.8,154.0,7,0.55,42.415,51.0,1978,Obese,8,79.0,6.56,77.0,0.1,883.644,82341.0,0.659,10.8,6.0
2002,Developing,67.8,146.0,7,0.55,39.333,5.0,4353,Obese,9,8.0,4.47,76.0,0.1,763.739,817195.0,0.651,10.6,6.2
2014,Developing,71.4,132.0,98,0.01,10.446,97.0,289,Underweight,121,97.0,2.82,97.0,0.1,184.565,15945279.0,0.57,10.0,36.7
2013,Developing,71.0,135.0,104,0.01,52.83,96.0,237,Underweight,130,96.0,2.88,96.0,0.1,951.889,157571292.0,0.565,10.0,37.1
2012,Developing,77.0,137.0,111,0.01,59.259,94.0,1986,Underweight,139,94.0,3.8,94.0,0.1,856.343,15572753.0,0.557,9.9,37.5
2011,Developing,73.0,14.0,118,0.01,62.35,96.0,5625,Underweight,150,96.0,3.16,96.0,0.1,835.789,153911916.0,0.545,9.4,37.9
2010,Developing,69.9,142.0,126,0.01,62.659,94.0,788,Underweight,161,94.0,3.6,94.0,0.1,757.672,15214912.0,0.535,8.9,38.3
2009,Developing,69.5,144.0,135,0.01,53.264,97.0,718,Underweight,173,97.0,2.91,97.0,0.1,681.125,1545478.0,0.523,8.4,38.8
2008,Developing,69.1,147.0,144,0.01,42.489,96.0,2660,Underweight,186,96.0,2.85,96.0,0.1,615.778,14885814.0,0.52,8.6,39.2
2007,Developing,68.6,151.0,154,0.01,46.365,95.0,2924,Underweight,201,96.0,2.8,94.0,0.1,541.651,147139191.0,0.513,8.6,21.6
2006,Developing,68.2,152.0,164,0.01,42.33,86.0,6192,Underweight,215,95.0,2.8,94.0,0.1,494.515,1453684.0,0.506,8.4,22.0
2005,Developing,67.8,155.0,174,0.01,38.055,45.0,25934,Underweight,231,94.0,2.68,93.0,0.1,484.155,14343111.0,0.499,8.2,22.4
2004,Developing,67.3,158.0,185,0.01,4.115,11.0,9743,Underweight,247,88.0,2.62,99.0,0.1,46.758,14137489.0,0.491,8.1,4.800000000000001
2003,Developing,66.8,161.0,196,0.01,35.485,5.0,4067,Underweight,264,9.0,2.51,87.0,0.1,432.739,139191.0,0.484,7.9,5.199999999999999
2014,Developing,72.0,199.0,0,13.94,1147.111,97.0,64,Obese,0,97.0,5.69,97.0,0.1,8318.429,9474511.0,0.796,15.7,3.9
2013,Developing,71.7,23.0,0,14.66,1109.855,98.0,16,Obese,1,98.0,6.7,98.0,0.1,7978.825,9465997.0,0.796,15.7,4.0
2012,Developing,71.9,194.0,0,16.35,91.71,97.0,10,Underweight,1,98.0,5.1,98.0,0.1,694.244,9464495.0,0.793,15.6,4.1
2011,Developing,72.0,232.0,0,17.31,846.911,98.0,50,Obese,1,98.0,4.92,98.0,0.1,6519.718,9473172.0,0.787,15.5,4.1
2010,Developing,73.0,222.0,0,14.44,8.494,96.0,1,Obese,1,99.0,5.55,98.0,0.1,63.389,949583.0,0.78,15.5,4.2
2009,Developing,70.0,226.0,0,14.09,434.799,98.0,0,Obese,1,98.0,6.9,96.0,0.1,5176.173,956765.0,0.771,15.4,4.300000000000001
2008,Developing,70.0,224.0,1,14.67,501.806,98.0,0,Obese,1,98.0,5.95,97.0,0.1,6376.183,9527985.0,0.755,15.1,4.4
2007,Developing,69.8,226.0,1,14.22,464.078,91.0,1,Obese,1,9.0,6.44,95.0,0.1,4735.485,956953.0,0.739,14.9,4.5
2006,Developing,68.9,243.0,1,12.6,364.426,98.0,149,Obese,1,97.0,6.34,99.0,0.1,3848.216,964924.0,0.723,14.6,4.6
2005,Developing,68.1,252.0,1,11.01,45.65,99.0,1,Obese,1,98.0,6.89,99.0,0.1,3126.718,9663915.0,0.713,14.4,4.8
2004,Developing,68.2,247.0,1,12.05,42.334,99.0,2,Obese,1,99.0,6.59,99.0,0.1,2378.339,973146.0,0.703,14.1,4.9
2003,Developing,67.7,253.0,1,11.17,23.836,56.0,21,Obese,1,53.0,6.59,5.0,0.1,1819.526,9796749.0,0.695,13.9,5.1
2002,Developing,67.2,262.0,1,12.23,145.423,99.0,14,Obese,1,99.0,6.47,99.0,0.1,1479.383,9865548.0,0.687,13.6,5.2
2001,Developing,67.7,254.0,1,10.74,14.061,93.0,45,Obese,1,99.0,6.62,99.0,0.1,1244.373,9928549.0,0.681,13.3,5.300000000000001
2000,Developing,68.0,247.0,1,12.98,24.249,7.0,21,Obese,1,99.0,6.13,99.0,0.1,1276.288,997961.0,0.675,13.1,5.5
2014,Developed,89.0,76.0,0,12.6,7163.349,98.0,70,Obese,1,99.0,1.59,99.0,0.1,47439.397,112957.0,0.89,16.3,2.0
2013,Developed,87.0,77.0,0,11.77,702.359,98.0,39,Obese,1,99.0,1.57,99.0,0.1,4651.386,11182817.0,0.889,16.3,1.9
2012,Developed,83.0,78.0,0,10.08,664.474,98.0,109,Obese,1,99.0,1.54,99.0,0.1,4474.572,11128246.0,0.886,16.2,1.8
2011,Developed,83.0,8.0,0,10.11,713.53,97.0,576,Obese,1,98.0,1.42,98.0,0.1,4772.774,1147744.0,0.884,16.1,1.8
2010,Developed,80.0,81.0,0,10.22,665.736,97.0,40,Obese,1,98.0,1.17,98.0,0.1,4438.237,1895586.0,0.878,15.9,1.8
2009,Developed,79.8,85.0,0,10.05,671.938,97.0,33,Obese,1,98.0,1.39,98.0,0.1,4488.562,1796493.0,0.876,15.8,1.8
2008,Developed,79.5,87.0,0,10.47,7191.052,98.0,98,Obese,1,99.0,9.6,99.0,0.1,48424.589,179973.0,0.874,15.8,1.6
2007,Developed,79.5,86.0,0,10.25,640.356,94.0,64,Underweight,1,99.0,9.25,98.0,0.1,4443.831,16257.0,0.871,15.8,1.6
2006,Developed,79.4,85.0,0,10.98,5579.199,94.0,15,Underweight,1,99.0,9.17,98.0,0.1,38852.361,1547958.0,0.865,15.7,1.6
2005,Developed,78.9,89.0,0,12.27,5068.214,77.0,26,Underweight,1,97.0,9.24,97.0,0.1,36967.283,1478617.0,0.861,15.7,1.6
2004,Developed,78.8,91.0,1,12.05,5160.508,64.0,61,Obese,1,96.0,9.32,95.0,0.1,35589.713,1421137.0,0.88,18.8,1.6
2003,Developed,78.3,95.0,0,11.28,507.306,64.0,44,Obese,1,96.0,9.3,95.0,0.1,3743.957,1376133.0,0.878,18.6,1.6
2002,Developed,78.0,99.0,1,11.29,320.318,6.0,0,Obese,1,96.0,8.46,95.0,0.1,2552.333,1332785.0,0.875,18.8,1.6
2001,Developed,78.0,1.0,1,11.01,2943.375,6.0,83,Obese,1,96.0,8.29,95.0,0.1,23121.566,128657.0,0.873,18.2,1.6
2000,Developed,77.6,11.0,1,11.21,287.208,6.0,0,Obese,1,96.0,8.12,95.0,0.1,2327.459,125125.0,0.869,18.0,1.6
2014,Developing,70.0,177.0,0,6.58,670.092,95.0,0,Underweight,0,95.0,5.79,95.0,0.2,4852.224,351694.0,0.705,12.8,6.8
2013,Developing,69.8,18.0,0,6.56,629.202,95.0,0,Obese,0,95.0,5.79,95.0,0.2,4688.538,344181.0,0.706,12.9,6.8
2012,Developing,69.4,189.0,0,6.66,582.803,98.0,0,Obese,0,98.0,5.45,98.0,0.1,4673.638,33671.0,0.702,12.5,6.9
2011,Developing,69.4,188.0,0,6.64,605.629,95.0,0,Obese,0,95.0,5.61,95.0,0.5,4516.247,329192.0,0.7,12.4,6.9
2010,Developing,69.5,186.0,0,6.76,569.953,96.0,0,Obese,0,96.0,5.85,96.0,0.2,4344.152,32168.0,0.7,12.4,6.9
2009,Developing,69.5,184.0,0,6.85,549.81,97.0,0,Obese,0,98.0,5.81,97.0,0.3,4258.789,313929.0,0.7,12.7,6.9
2008,Developing,69.6,181.0,0,7.22,51.252,94.0,0,Obese,0,94.0,5.9,94.0,0.1,447.228,36165.0,0.699,12.8,6.9
2007,Developing,69.6,181.0,0,7.24,69.631,96.0,0,Obese,0,97.0,4.76,96.0,0.6,4324.876,29847.0,0.7,12.8,7.0
2006,Developing,69.4,184.0,0,6.48,387.332,98.0,0,Obese,0,98.0,4.4,98.0,0.6,4187.378,29747.0,0.692,12.3,7.1
2005,Developing,69.0,191.0,0,6.25,365.8,96.0,0,Obese,0,96.0,4.45,96.0,0.8,3933.332,283277.0,0.695,12.8,7.1
2004,Developing,68.7,197.0,0,6.2,325.681,97.0,0,Obese,0,97.0,4.39,97.0,0.8,3831.538,27689.0,0.691,12.5,7.1
2003,Developing,68.4,21.0,0,5.67,312.8,96.0,0,Obese,0,95.0,4.53,96.0,1.5,3679.995,26913.0,0.684,12.2,7.2
2002,Developing,68.5,199.0,0,4.99,262.83,97.0,0,Obese,0,93.0,4.38,89.0,0.1,3556.562,26226.0,0.678,11.9,7.300000000000001
2001,Developing,68.2,21.0,0,4.9,251.659,96.0,0,Obese,0,96.0,4.5,96.0,0.4,3419.276,254984.0,0.677,11.8,7.4
2000,Developing,68.3,196.0,0,4.79,219.024,76.0,0,Underweight,0,91.0,3.98,91.0,0.3,3364.424,247315.0,0.668,11.7,7.5
2014,Developing,59.7,252.0,25,0.01,90.122,78.0,786,Overweight,39,74.0,4.59,78.0,1.1,943.687,1286712.0,0.475,10.7,14.0
